序號,建案名稱,鄉鎮市區,投資興建商,主要基地地號,使用分區,總戶數,基地最新成交日,基地成交筆數,基地平均單價(萬/坪),基地最低單價(萬/坪),基地最高單價(萬/坪),取得建照日,申報備查日,預售首筆成交日,預售最新成交日,預售已售戶數,銷售率(%),建案成交均價(萬/坪),建案最低單價(萬/坪),建案最高單價(萬/坪),建案平均總價(萬元),房地單價倍數比(倍),房地單價差額(萬/坪),購地至取得建照歷時(月),購地至首筆預售歷時(月),開案後銷售跨度(月),狀態,預估成交均價(萬/坪)
117,"吉心立合","壯圍鄉","吉立建設有限公司","新福段790地號","特定農業區甲種建築用地",37,112/10/10,1,10,10,10,113/11/28,114/01/16,114/04/24,115/01/24,16,43.2,32.4,26.8,35,964.7,3.24,22.4,13.6,18.5,9,已開賣(有預售實登),
118,"品見築No.9日日吉祥","壯圍鄉","全凱建設股份有限公司","吉祥一段662地號","農業區",24,113/12/20,3,10,10,10.1,113/07/11,114/08/27,114/12/18,114/12/18,4,16.7,31.3,30.8,31.8,1170.2,3.13,21.3,-5.3,11.9,0,已開賣(有預售實登),
119,"鳳凰愛買18期","壯圍鄉","以日建設股份有限公司","美城段981地號","特定農業區甲種建築用地",21,113/02/03,2,11.9,11,12.8,114/04/14,114/04/22,114/05/20,114/11/15,12,57.1,29.4,27.4,31.8,820.5,2.47,17.5,14.3,15.5,5.9,已開賣(有預售實登),
120,"新元墅9","壯圍鄉","仲曜建設有限公司","中興段860地號","特定農業區甲種建築用地",72,112/05/31,1,11.2,11.2,11.2,112/12/28,113/03/14,113/04/13,115/04/30,51,70.8,28.9,25.7,39.6,570.7,2.58,17.7,6.9,10.4,24.5,已開賣(有預售實登),
121,"築山樂園生活村","壯圍鄉","實築建設有限公司","美城段584地號","特定農業區甲種建築用地",29,110/07/08,2,6.5,6.3,6.8,111/07/11,111/07/29,111/09/22,113/11/20,29,100,28.5,23.1,42.3,1105.6,4.38,22,12.1,14.5,26,已開賣(有預售實登),
122,"耘光","壯圍鄉","宸昕建設有限公司","中興段181地號","特定農業區甲種建築用地",25,113/03/08,1,8.5,8.5,8.5,114/01/07,114/01/23,114/03/22,114/10/31,11,44,28,26.6,31.5,691.7,3.29,19.5,10,12.5,7.3,已開賣(有預售實登),
123,"富登新12","壯圍鄉","僑馥建築經理股份有限公司","五美段375地號","特定農業區甲種建築用地",20,112/05/09,2,7.5,7,8.1,112/12/13,113/03/15,113/04/14,114/09/25,20,100,27.1,22.1,29.9,685.1,3.61,19.6,7.2,11.2,17.4,已開賣(有預售實登),
124,"晴境","壯圍鄉","天勤地產有限公司","古結段322地號","特定農業區甲種建築用地",18,113/06/22,1,13.4,13.4,13.4,114/05/28,114/08/15,115/01/12,115/04/08,2,11.1,27,26.3,27.7,1688,2.01,13.6,11.2,18.7,2.8,已開賣(有預售實登),
125,"小時代V","壯圍鄉","元喆建設有限公司","吉祥二段604地號","住宅區",25,110/11/01,1,18,18,18,111/07/19,111/07/22,111/08/26,112/04/22,24,96,25.7,24.1,28.7,811,1.43,7.7,8.5,9.8,7.9,已開賣(有預售實登),
126,"樂活京璽","壯圍鄉","昌進工程有限公司","美城段188地號","特定農業區甲種建築用地",23,110/03/26,1,6.2,6.2,6.2,111/07/25,111/10/07,112/03/03,113/04/28,23,100,25.7,23.6,29.3,718.3,4.15,19.5,16,23.2,13.9,已開賣(有預售實登),
127,"順和苑NO.6","壯圍鄉","天祿不動產開發有限公司","中興段703-14地號","特定農業區甲種建築用地",7,113/11/10,1,8.7,8.7,8.7,114/06/23,114/07/01,114/07/26,114/08/17,7,100,25.5,24.4,26.5,1178,2.93,16.8,7.4,8.5,0.7,已開賣(有預售實登),
128,"寓見中道","壯圍鄉","寓見開發建設有限公司","五權段502地號","特定農業區甲種建築用地",16,111/10/13,1,8.3,8.3,8.3,112/05/24,112/06/15,112/08/10,113/08/06,16,100,25,23.6,25.7,1051.1,3.01,16.7,7.3,9.9,11.9,已開賣(有預售實登),
129,"京晨","壯圍鄉","菁成建設有限公司","吉祥二段358地號","住宅區",4,110/09/18,1,9.4,9.4,9.4,111/03/28,111/10/07,111/12/20,112/07/02,3,75,24.9,23.8,26.3,889.3,2.65,15.5,6.3,15,6.4,已開賣(有預售實登),
130,"群邦碩玉","壯圍鄉","群邦開發實業有限公司","五權段1771地號","特定農業區甲種建築用地",23,113/07/26,2,9.2,9,9.4,114/06/23,114/10/13,114/12/22,115/04/25,13,56.5,24.6,24,25.5,645.2,2.67,15.4,10.9,16.9,4.1,已開賣(有預售實登),
131,"光匯田境","壯圍鄉","都江建設有限公司","五權段783地號","特定農業區甲種建築用地",52,112/12/09,1,6.5,6.5,6.5,113/09/11,113/09/20,113/10/14,115/07/26,42,81,24.5,22.3,26.2,772.5,3.77,18,9.1,10.2,21.4,已開賣(有預售實登),
132,"小時代6","壯圍鄉","元喆建設有限公司","美城段280地號","特定農業區甲種建築用地",27,110/09/28,1,6.3,6.3,6.3,113/01/24,113/05/09,113/06/03,115/03/22,26,96.3,24.1,21.6,27.6,749.8,3.83,17.8,27.9,32.2,21.6,已開賣(有預售實登),
133,"印象壯圍","壯圍鄉","菁英部落有限公司","復興段1012地號","特定農業區甲種建築用地",24,113/07/30,3,7,6.8,7.1,113/06/11,113/08/02,113/10/30,114/05/28,14,58.3,23.6,21.9,27.7,1205.1,3.37,16.6,-1.6,3,6.9,已開賣(有預售實登),
134,"元舞","壯圍鄉","興璟泰建設股份有限公司","壯濱一段309-6地號","一般農業區甲種建築用地",6,107/07/31,1,4.7,4.7,4.7,112/09/11,112/09/24,112/10/26,112/11/01,6,100,23.3,22.6,24.7,1325,4.96,18.6,61.4,62.9,0.2,已開賣(有預售實登),
