序號,建案名稱,鄉鎮市區,投資興建商,主要基地地號,使用分區,總戶數,基地最新成交日,基地成交筆數,基地平均單價(萬/坪),基地最低單價(萬/坪),基地最高單價(萬/坪),取得建照日,申報備查日,預售首筆成交日,預售最新成交日,預售已售戶數,銷售率(%),建案成交均價(萬/坪),建案最低單價(萬/坪),建案最高單價(萬/坪),建案平均總價(萬元),房地單價倍數比(倍),房地單價差額(萬/坪),購地至取得建照歷時(月),購地至首筆預售歷時(月),開案後銷售跨度(月),狀態,預估成交均價(萬/坪)
333,"富德家NO.7","蘇澳鎮","永欣建設有限公司","龍德段201地號","工業區丁種建築用地",20,108/10/29,1,6.4,,,114/02/13,114/06/03,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.2
334,"茗墅苑","冬山鄉","日笙開發有限公司","和員段86地號","特定農業區甲種建築用地",4,113/01/09,2,10.2,,,113/10/21,114/05/26,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),24.5
335,"永美首席2","員山鄉","佑晨建設有限公司","阿蘭城段10地號","鄉村區乙種建築用地",12,113/07/10,3,11.7,,,114/03/10,114/05/22,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),25.4
336,"藏賦","蘇澳鎮","昇築建設有限公司","蘇市段4地號","住宅區",29,114/06/25,4,11.5,,,113/10/21,114/05/21,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),25.3
337,"大隱安居","三星鄉","李旆締","大隱一段735地號","特定農業區甲種建築用地",28,113/04/30,5,6.9,,,114/02/25,114/05/08,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.5
338,"悠謙謙","頭城鎮","和通開發建設有限公司","烏石港段426地號","住宅區",6,110/06/21,1,15.5,,,111/07/22,114/02/24,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),27.6
339,"馬賽迴旋","蘇澳鎮","竣威建設有限公司","永愛段577地號","商業區",4,111/04/06,1,10,,,112/07/03,114/02/07,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),24.4
340,"四季行館3","蘇澳鎮","德元建設有限公司","坪林段135地號","住宅區",13,110/07/27,1,6,,,113/07/23,114/01/15,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22
341,"麗富","五結鄉","興富耀建設股份有限公司","利福段1364地號","鄉村區乙種建築用地",7,111/12/04,1,5.3,,,113/01/18,114/01/02,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),21.6
342,"桂冠公園1號院","宜蘭市","桂冠開發建設股份有限公司","健康段90地號","第二種住宅區",7,113/06/04,2,40.1,,,113/10/22,113/11/27,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),42.3
343,"雙水漾","五結鄉","金神有限公司","鎮安段537地號","特定農業區甲種建築用地",2,111/01/11,2,8.3,,,111/09/16,113/11/19,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),23.4
344,"寓見芳鄰【紐約公寓】","五結鄉","寓見開發建設有限公司","利工段1041地號","工業區丁種建築用地",10,112/08/26,2,8,,,113/04/11,113/06/26,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),23.2
345,"寓見芳鄰【巴黎公寓】","五結鄉","寓見開發建設有限公司","利工段617地號","工業區丁種建築用地",5,112/05/01,1,7.1,,,113/04/11,113/06/26,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.6
346,"敦有寶境","冬山鄉","敦有建設有限公司","寶員段255地號","特定農業區甲種建築用地",5,111/09/13,1,11.9,,,113/05/30,113/06/10,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),25.5
347,"征泰大吉6","五結鄉","永征建設有限公司","大吉二段23-10地號","特定農業區甲總建築用地",19,112/11/23,1,7.5,,,112/10/02,113/06/07,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.9
348,"夢想家第22期-容邑","蘇澳鎮","三釱開發有限公司","蘇聖段1073地號","住宅區",21,111/09/12,1,10,,,113/03/20,113/05/17,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),24.4
349,"蘭居","宜蘭市","築林興業有限公司","擺厘段545地號","住宅區",4,112/02/11,1,19,,,113/01/10,113/02/20,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),29.7
350,"向信画杺","員山鄉","向杺力建設有限公司","新金山段83-1地號","特定農業區甲種建築用地",22,111/11/07,1,16.9,,,113/01/12,113/01/25,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),28.5
351,"享家Ⅱ-享戀","羅東鎮","享邑建設開發有限公司","公正段1249地號","住宅區",3,113/10/30,1,34,,,112/02/04,112/12/08,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),38.7
352,"豐溢沐語","蘇澳鎮","豐溢開發有限公司","蘇市段79地號","住宅區",61,109/12/21,1,6.2,,,111/11/25,112/11/17,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.1
353,"澐水","蘇澳鎮","竣威建設有限公司","永愛段577地號","商業區",4,111/04/06,1,10,,,112/07/03,112/09/27,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),24.4
354,"東興豪邸","冬山鄉","在那邊蓋的有限公司","東興段121地號","工業區丁種建築用地",2,111/11/27,3,4.9,,,112/03/15,112/08/23,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),21.3
355,"光隱V i l l a","五結鄉","光隱建設有限公司","大吉三段569地號","特定農業區甲種建築用地",13,108/03/26,1,6,,,109/11/18,112/07/13,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22
356,"夢想家第21期-容邑","蘇澳鎮","三釱開發有限公司","新隘段788地號","住宅區",24,110/12/17,3,6.5,,,112/04/20,112/05/19,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.3
357,"丰野．哲隱三期","五結鄉","丰野建設股份有限公司","中福段797地號","農業區",36,111/06/06,3,16.8,,,112/03/03,112/03/16,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),28.4
358,"征泰大吉5","五結鄉","征泰建設有限公司","大吉二段19-1地號","特定農業區甲種建築用地",9,110/03/05,1,6,,,110/07/13,111/07/06,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22
359,"丰野．哲隱二期","五結鄉","丰野建設股份有限公司","孝威段578地號","特定農業區甲種建築用地",32,110/07/05,1,14.7,,,111/01/07,111/01/14,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),27.2
360,"祥豪富貴電梯華廈","蘇澳鎮","鼎築建設股份有限公司","保安段757地號","住宅區",8,107/01/25,1,6.6,,,109/09/01,110/12/27,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.3
361,"天送．幸福","三星鄉","汎德建設股份有限公司","福和段816-1地號","特定農業區甲種建築用地",20,108/12/30,2,7,,,109/11/24,110/12/13,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.6
362,"秀春透天別墅","礁溪鄉","林秀春","實踐段333-1地號","特定農業區甲種建築用地",1,108/11/25,2,7.1,,,109/02/07,110/09/06,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.6
363,"麗玲透天別墅","礁溪鄉","黃麗玲","實踐段333地號","特定農業區甲種建築用地",1,108/11/25,2,7.1,,,109/02/07,110/09/06,,,0,0,,,,,,,,,,儲備中(尚未有預售實登),22.6
